queue_charging_time,queue_missing_battery_sum,charger_charging_capacity,queue_length,charging_drones,target
25.123455710302828,0.8895160755100011,0.04,1.0,1.0,62
44.25433557098454,1.2774695599321293,0.04,2.0,1.0,95
44.25433557098454,1.6049174087880926,0.04,3.0,1.0,137
58.82704233181909,2.1918688566031825,0.04,3.0,1.0,111
65.11657503962655,2.3590413927016303,0.04,3.0,1.0,124
44.38624676233731,2.4860879082795027,0.04,3.0,1.0,129
72.71685750827142,2.9660879082795026,0.04,4.0,1.0,132
65.28906250000006,2.315000000000002,0.04,3.0,1.0,124
60.99218750000007,2.7950000000000026,0.04,4.0,1.0,137
66.37500000000007,3.0500000000000025,0.04,4.0,1.0,112
38.781250000000036,2.020000000000002,0.04,2.0,1.0,66
