target,prediction
11,1.0041608
17,1.0363863
55,0.99243563
25,1.0117027
78,0.9907384
67,0.9873323
45,1.0198026
54,0.97972816
77,0.9909527
101,1.1800108
14,1.018141
85,0.9772378
54,1.0146903
69,0.9909205
93,1.1740583
33,0.9809992
65,0.9360826
44,0.99373716
48,1.0127001
102,0.98715466
77,0.9902692
120,1.2206559
52,0.9776498
62,1.0265859
67,1.0017595
52,0.9920711
112,1.1683836
33,0.98644084
18,1.0183985
80,0.99031
57,1.0150398
58,0.9804744
67,0.9771803
118,1.0192392
38,1.0046986
57,1.0126063
44,1.0196843
59,0.9804094
155,1.1397765
63,0.9741705
10,1.007896
17,0.99618024
71,0.976903
125,1.1297194
18,1.0919662
52,1.0247921
72,1.0727787
67,0.9771803
24,1.0186303
59,0.9897367
85,0.97579706
132,0.9707657
13,0.9966883
49,0.9752607
34,0.9900964
149,0.9759552
8,1.0178548
79,0.9868336
23,0.9837311
101,0.987733
24,1.025493
63,0.9877357
141,1.154302
5,1.0175267
57,1.0087863
23,0.9809074
67,0.99116164
63,1.0055639
110,1.0195072
103,0.9874946
119,0.979243
38,0.9579328
107,0.9863535
79,1.0160269
48,1.013994
