target,prediction
71,69.18621
112,104.372314
70,66.02604
0,3.4757662
19,17.2034
8,9.205887
41,44.702534
63,60.862823
126,113.10416
119,114.50235
41,41.574364
99,110.99991
46,44.199455
49,45.059177
2,5.6522074
47,46.513714
66,62.81569
148,127.13477
75,69.81232
11,13.613592
125,114.279854
111,116.67277
110,100.82522
56,50.737392
59,59.166367
30,28.554533
7,8.093328
79,77.33384
100,97.75531
25,23.698137
68,55.15793
61,57.350082
50,47.410378
115,114.435646
51,38.442486
16,12.093967
41,40.026543
59,53.435234
86,85.36849
39,38.56561
21,17.17751
56,57.206013
42,44.16817
59,57.092754
96,94.442505
39,40.22722
26,19.313465
74,72.82937
30,28.554533
