timestep,allDrones,chargingDrones,deadDrones,allBirds,eatingBirds,allChargers,idleChargers,energyConsumed,damageRate
144,7,1,1,10,0,3,1,0.2,0.0
145,7,1,1,10,1,3,1,0.2,0.027777777777777776
146,7,1,1,10,1,3,1,0.2,0.027777777777777776
147,7,1,1,10,1,3,1,0.2,0.027777777777777776
148,7,1,1,10,1,3,1,0.2,0.027777777777777776
149,7,1,1,10,1,3,1,0.2,0.027777777777777776
150,7,1,1,10,1,3,1,0.2,0.027777777777777776
151,7,1,1,10,1,3,1,0.2,0.027777777777777776
152,7,1,1,10,1,3,1,0.2,0.027777777777777776
153,7,1,1,10,1,3,1,0.2,0.027777777777777776
154,7,1,1,10,1,3,1,0.2,0.027777777777777776
155,7,1,1,10,1,3,1,0.2,0.027777777777777776
156,7,1,1,10,1,3,1,0.2,0.027777777777777776
157,7,1,1,10,0,3,1,0.2,0.0
158,7,1,1,10,0,3,1,0.2,0.0
159,7,1,1,10,0,3,1,0.2,0.0
160,7,0,1,10,0,3,2,0.1,0.0
161,7,0,1,10,0,3,2,0.1,0.0
162,7,0,1,10,0,3,2,0.1,0.0
163,7,0,1,10,0,3,2,0.1,0.0
164,7,0,1,10,0,3,2,0.1,0.0
165,7,0,1,10,1,3,2,0.1,0.027777777777777776
166,7,0,1,10,1,3,2,0.1,0.027777777777777776
167,7,0,1,10,1,3,2,0.1,0.027777777777777776
168,7,0,1,10,1,3,2,0.1,0.027777777777777776
169,7,0,1,10,1,3,2,0.1,0.027777777777777776
170,7,0,1,10,1,3,2,0.1,0.027777777777777776
171,7,0,1,10,1,3,2,0.1,0.027777777777777776
172,7,0,1,10,1,3,2,0.1,0.027777777777777776
173,7,0,1,10,2,3,2,0.1,0.05555555555555555
174,7,0,1,10,1,3,2,0.1,0.027777777777777776
175,7,0,1,10,1,3,2,0.1,0.027777777777777776
176,7,0,1,10,1,3,2,0.1,0.027777777777777776
177,7,0,1,10,1,3,2,0.1,0.027777777777777776
178,7,0,1,10,1,3,2,0.1,0.027777777777777776
179,7,0,1,10,2,3,2,0.1,0.05555555555555555
180,7,0,1,10,2,3,2,0.1,0.05555555555555555
181,7,0,1,10,1,3,2,0.1,0.027777777777777776
182,7,0,1,10,2,3,2,0.1,0.05555555555555555
