timestep,deadDrones,chargingDrones,meanBattery,minAlert,maxAlert,aliveRate,freeChargers,eatingBirds,damage,energy
37,0.0,4,0.6345815809687907,0.21555861503127255,0.6232779357628151,1.0,5,3,0.1650485436893204,2.8000000000000003
38,0.0,3,0.6634575576469119,0.21555861503127255,0.6232779357628151,1.0,6,4,0.20388349514563106,3.4000000000000004
39,0.0,2,0.6675873445346502,0.21555861503127255,0.6232779357628151,1.0,8,3,0.24271844660194175,3.8000000000000003
40,0.0,2,0.6859206778679836,0.21555861503127255,0.6232779357628151,1.0,7,4,0.1650485436893204,4.2
41,0.0,1,0.6854949978373799,0.21555861503127255,0.6232779357628151,1.0,8,2,0.20388349514563106,4.400000000000001
42,0.0,2,0.6904949978373799,0.21555861503127255,0.6232779357628151,1.0,8,2,0.08737864077669903,4.600000000000001
43,0.0,2,0.7084949978373799,0.21555861503127255,0.6232779357628151,1.0,7,2,0.10679611650485436,5.0
44,0.0,1,0.7154311567760563,0.21555861503127255,0.6232779357628151,1.0,8,1,0.11650485436893204,5.3999999999999995
45,0.0,1,0.7194311567760563,0.21555861503127255,0.6232779357628151,1.0,8,2,0.07766990291262135,5.6000000000000005
46,0.0,0,0.7149857887048573,0.21555861503127255,0.6232779357628151,1.0,9,2,0.08737864077669903,5.8
47,0.0,0,0.7053191220381906,0.21555861503127255,0.6232779357628151,1.0,9,1,0.10679611650485436,5.8
48,0.0,0,0.695652455371524,0.21555861503127255,0.6232779357628151,1.0,9,1,0.019417475728155338,5.8
49,0.0,1,0.686652455371524,0.21555861503127255,0.6232779357628151,1.0,9,1,0.02912621359223301,5.8
50,0.0,1,0.690652455371524,0.21555861503127255,0.6232779357628151,1.0,8,1,0.038834951456310676,6.000000000000001
51,0.0,1,0.6953191220381906,0.21555861503127255,0.6232779357628151,1.0,8,0,0.04854368932038835,6.2
52,0.0,1,0.6996524553715239,0.21555861503127255,0.6232779357628151,1.0,8,1,0.009708737864077669,6.3999999999999995
53,0.0,0,0.6943406052590568,0.21555861503127255,0.6232779357628151,1.0,9,3,0.038834951456310676,6.6000000000000005
54,0.0,0,0.6850072719257234,0.21555861503127255,0.6232779357628151,1.0,9,3,0.06796116504854369,6.6000000000000005
55,0.0,0,0.6756739385923901,0.21555861503127255,0.6232779357628151,1.0,9,3,0.0970873786407767,6.6000000000000005
56,0.0,0,0.6663406052590568,0.21555861503127255,0.6232779357628151,1.0,9,2,0.1262135922330097,6.6000000000000005
57,0.0,0,0.6563406052590568,0.21555861503127255,0.6232779357628151,1.0,9,3,0.10679611650485436,6.6000000000000005
58,0.0,0,0.6463406052590568,0.21555861503127255,0.6232779357628151,1.0,9,0,0.10679611650485436,6.6000000000000005
59,0.0,0,0.6373406052590568,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,6.6000000000000005
60,0.0,0,0.6280072719257234,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,6.6000000000000005
61,0.0,0,0.6183406052590568,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,6.6000000000000005
62,0.0,1,0.6090072719257233,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,6.6000000000000005
63,0.0,1,0.6133406052590568,0.21555861503127255,0.6232779357628151,1.0,8,0,0.0,6.8
64,0.0,3,0.6193406052590567,0.21555861503127255,0.6232779357628151,1.0,8,1,0.009708737864077669,7.0
65,0.0,3,0.6513406052590567,0.21555861503127255,0.6232779357628151,1.0,6,1,0.019417475728155338,7.6
66,0.0,1,0.6604262239743841,0.21555861503127255,0.6232779357628151,1.0,8,1,0.02912621359223301,8.000000000000002
67,0.0,1,0.6650928906410508,0.21555861503127255,0.6232779357628151,1.0,8,1,0.038834951456310676,8.200000000000001
68,0.0,1,0.6697595573077174,0.21555861503127255,0.6232779357628151,1.0,8,1,0.04854368932038835,8.4
69,0.0,1,0.6737595573077174,0.21555861503127255,0.6232779357628151,1.0,8,1,0.05825242718446602,8.600000000000001
70,0.0,0,0.6696091744319742,0.21555861503127255,0.6232779357628151,1.0,9,0,0.05825242718446602,8.8
71,0.0,0,0.6596091744319742,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,8.8
72,0.0,0,0.6499425077653075,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,8.8
73,0.0,0,0.6399425077653075,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,8.8
74,0.0,0,0.6299425077653075,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,8.8
75,0.0,0,0.6202758410986409,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,8.8
76,0.0,0,0.6109425077653075,0.21555861503127255,0.6232779357628151,1.0,9,0,0.0,8.8
77,0.0,0,0.6009425077653074,0.21555861503127255,0.6232779357628151,1.0,9,1,0.009708737864077669,8.8
78,0.0,1,0.5916091744319741,0.21555861503127255,0.6232779357628151,1.0,9,3,0.038834951456310676,8.8
79,0.0,2,0.5962758410986408,0.21555861503127255,0.6232779357628151,1.0,8,2,0.06796116504854369,9.0
80,0.0,2,0.6132758410986409,0.21555861503127255,0.6232779357628151,1.0,8,2,0.06796116504854369,9.4
81,0.0,3,0.6319425077653075,0.21555861503127255,0.6232779357628151,1.0,7,2,0.08737864077669903,9.799999999999999
82,0.0,2,0.6532758410986408,0.21555861503127255,0.6232779357628151,1.0,7,1,0.10679611650485436,10.399999999999999
83,0.06666666666666667,1,0.7097264437201932,0.21555861503127255,0.6232779357628151,0.9333333333333333,8,1,0.05825242718446602,10.8
84,0.06666666666666667,1,0.7004407294344789,0.21555861503127255,0.6232779357628151,0.9333333333333333,8,1,0.06796116504854369,10.8
