id,battery,location.x,location.y,state,distanceToNearestCharger,requestTime,acceptedTime
Drone_45,0.8769999999999999,210,349,2,247,1778,1778
Drone_69,0.6764999999999999,233,585,2,147,1835,1835
Drone_5,0.8229999999999998,638,744,2,250,1839,1839
Drone_99,0.8829999999999999,550,794,2,204,1848,1848
Drone_73,0.478,759,92,2,144,1881,1881
Drone_88,0.7579999999999998,884,623,2,263,1895,1895
Drone_13,0.7429999999999999,831,543,2,170,1897,1897
Drone_34,0.6749999999999997,819,88,2,152,1901,1901
Drone_64,0.47799999999999954,609,564,2,148,1902,1902
Drone_55,0.8319999999999999,603,411,2,178,1911,1911
Drone_46,0.5609999999999997,831,583,2,208,1920,1920
Drone_74,0.5014999999999998,372,784,2,181,1940,1940
Drone_75,0.8649999999999999,890,516,2,174,1942,1942
Drone_28,0.8819999999999999,279,142,2,256,1947,1947
Drone_81,0.7919999999999998,806,118,2,120,1948,1948
Drone_52,0.8269999999999998,773,533,2,152,1950,1950
Drone_71,0.4840000000000001,263,573,2,176,1975,1975
Drone_80,0.8459999999999999,241,564,2,154,1998,1998
Drone_33,0.5515000000000001,177,593,2,94,2000,2000
Drone_21,0.7474999999999998,722,146,2,105,2000,2000
Drone_14,0.6994999999999999,724,588,2,214,2032,2032
Drone_57,0.4004999999999996,400,282,2,121,2052,2052
Drone_8,0.52,775,108,2,127,2063,2063
Drone_32,0.7869999999999998,670,141,2,143,2068,2068
Drone_12,0.6385000000000002,231,577,2,144,2070,2070
Drone_76,0.543,746,148,2,92,2077,2077
Drone_24,0.8849999999999999,128,334,2,233,2081,2081
Drone_99,0.9029999999999999,232,846,2,223,2102,2102
Drone_45,0.8765,278,170,2,247,2114,2114
Drone_65,0.5799999999999996,210,660,2,156,2130,2130
Drone_44,0.6614999999999998,756,493,2,114,2146,2146
Drone_56,0.8669999999999999,220,426,2,191,2162,2162
Drone_16,0.6299999999999997,420,630,2,75,2165,2165
Drone_62,0.5524999999999997,734,592,2,215,2179,2179
Drone_43,0.33699999999999974,775,138,2,97,2181,2181
Drone_66,0.7984999999999999,426,166,2,117,2184,2184
Drone_6,0.6619999999999997,799,574,2,194,2211,2211
Drone_27,0.4064999999999998,273,587,2,187,2220,2220
Drone_100,0.7719999999999998,323,490,2,158,2224,2224
Drone_85,0.6755000000000001,810,78,2,160,2231,2231
Drone_82,0.7349999999999998,352,715,2,183,2234,2234
Drone_69,0.6755,230,537,2,145,2248,2248
Drone_81,0.7820000000000001,738,131,2,111,2253,2253
Drone_26,0.3340000000000002,762,102,2,133,2274,2274
Drone_52,0.8429999999999999,578,400,2,169,2274,2274
Drone_79,0.8219999999999998,159,122,2,376,2277,2277
Drone_80,0.849,243,560,2,156,2286,2286
Drone_4,0.4439999999999998,253,537,2,168,2293,2293
Drone_88,0.7264999999999999,843,604,2,232,2297,2297
Drone_13,0.7344999999999999,786,542,2,161,2320,2320
Drone_75,0.8459999999999999,615,567,2,154,2330,2330
Drone_22,0.48850000000000016,834,163,2,91,2337,2337
Drone_42,0.48999999999999955,597,564,2,136,2341,2341
Drone_5,0.7044999999999998,543,900,2,130,2345,2345
Drone_30,0.7489999999999998,277,632,2,195,2375,2375
Drone_34,0.6325000000000002,764,124,2,111,2388,2388
Drone_83,0.2814999999999998,158,539,2,75,2395,2395
Drone_55,0.7764999999999999,788,503,2,122,2423,2423
Drone_66,0.8949999999999999,305,202,2,213,2438,2438
Drone_21,0.7995000000000001,782,78,2,157,2444,2444
Drone_99,0.8905,542,780,2,211,2445,2445
Drone_84,0.6324999999999997,182,588,2,97,2469,2469
Drone_32,0.766,785,112,2,123,2478,2478
Drone_45,0.8789999999999999,296,364,2,250,2502,2502
Drone_33,0.5860000000000002,217,557,2,130,2535,2535
Drone_12,0.652,246,576,2,159,2536,2536
Drone_28,0.765,380,203,2,140,2537,2537
Drone_81,0.8065000000000001,756,102,2,134,2575,2575
Drone_76,0.6100000000000001,822,82,2,159,2578,2578
Drone_14,0.6364999999999998,734,527,2,152,2579,2579
Drone_73,0.4810000000000003,762,88,2,147,2581,2581
Drone_100,0.7854999999999999,289,563,2,172,2583,2583
Drone_24,0.8839999999999999,283,243,2,232,2584,2584
Drone_44,0.7349999999999999,842,559,2,188,2614,2614
Drone_71,0.49550000000000016,274,567,2,187,2618,2618
Drone_69,0.7045,287,577,2,174,2635,2635
Drone_13,0.7899999999999998,835,591,2,217,2663,2663
Drone_8,0.5100000000000001,838,134,2,117,2676,2676
Drone_46,0.4834999999999998,838,497,2,130,2685,2685
Drone_16,0.7119999999999999,493,814,2,157,2693,2693
Drone_80,0.8035,198,557,2,111,2698,2698
Drone_85,0.6365000000000003,822,122,2,121,2704,2704
Drone_55,0.8274999999999999,802,553,2,173,2706,2706
Drone_5,0.7034999999999999,492,844,2,130,2724,2724
Drone_52,0.8369999999999999,779,544,2,163,2737,2737
Drone_99,0.8674999999999999,332,794,2,188,2744,2744
Drone_64,0.4674999999999999,696,491,2,137,2755,2755
Drone_62,0.5414999999999999,774,583,2,202,2760,2760
Drone_79,0.7644999999999998,216,132,2,318,2778,2778
Drone_6,0.7154999999999998,768,626,2,245,2784,2784
Drone_45,0.8769999999999999,269,279,2,248,2815,2815
Drone_21,0.7680000000000001,719,122,2,127,2841,2841
Drone_65,0.6074999999999999,416,774,2,183,2843,2843
Drone_82,0.6339999999999997,453,649,2,82,2843,2843
Drone_74,0.47349999999999964,432,804,2,153,2856,2856
Drone_66,0.8949999999999999,305,202,2,213,2864,2864
Drone_22,0.5480000000000004,709,100,2,151,2869,2869
Drone_88,0.5664999999999998,785,453,2,72,2879,2879
Drone_84,0.6990000000000002,252,551,2,165,2884,2884
Drone_56,0.8165,808,98,2,140,2892,2892
Drone_24,0.8849999999999999,289,303,2,233,2900,2900
Drone_34,0.6375000000000001,753,122,2,115,2905,2905
Drone_100,0.7715,244,558,2,157,2923,2923
Drone_57,0.5024999999999998,321,137,2,221,2934,2934
Drone_27,0.38999999999999996,257,567,2,170,2938,2938
Drone_75,0.7739999999999998,798,461,2,82,2947,2947
Drone_32,0.7605,773,118,2,117,2950,2950
Drone_30,0.7424999999999999,486,754,2,188,2951,2951
Drone_81,0.7860000000000001,792,120,2,115,2957,2957
Drone_43,0.336,793,140,2,96,2976,2976
Drone_28,0.8839999999999999,203,332,2,259,2999,2999
Drone_12,0.6255000000000001,217,543,2,131,3002,3002
Drone_14,0.7394999999999998,748,633,2,253,3003,3003
Drone_44,0.737,732,565,2,189,3029,3029
Drone_80,0.8650000000000001,259,559,2,172,3030,3030
Drone_42,0.5529999999999997,771,580,2,199,3073,3073
Drone_55,0.8154999999999999,757,542,2,162,3086,3086
Drone_5,0.82,217,774,2,246,3094,3094
Drone_4,0.4184999999999999,227,567,2,140,3095,3095
Drone_33,0.5480000000000004,171,599,2,91,3109,3109
Drone_69,0.6285000000000002,185,557,2,98,3119,3119
Drone_85,0.6655000000000002,714,100,2,149,3133,3133
Drone_76,0.5545000000000001,818,140,2,103,3147,3147
Drone_24,0.8919999999999999,299,135,2,241,3168,3168
Drone_13,0.7274999999999998,807,532,2,153,3172,3172
Drone_16,0.6844999999999999,449,827,2,132,3174,3174
Drone_83,0.3569999999999999,239,565,2,152,3178,3178
Drone_52,0.7729999999999998,836,462,2,99,3183,3183
Drone_99,0.8399999999999999,461,727,2,160,3216,3216
Drone_81,0.8175,792,90,2,145,3234,3234
Drone_56,0.7715000000000002,714,165,2,94,3237,3237
Drone_66,0.9009999999999999,186,366,2,221,3260,3260
Drone_71,0.4615,239,557,2,152,3268,3268
Drone_26,0.3179999999999998,807,123,2,115,3274,3274
Drone_100,0.786,258,566,2,171,3275,3275
Drone_21,0.7515000000000001,803,128,2,109,3278,3278
Drone_45,0.832,332,152,2,204,3318,3318
Drone_46,0.5759999999999997,784,605,2,224,3322,3322
Drone_8,0.47100000000000003,770,158,2,77,3327,3327
Drone_80,0.8275000000000001,223,572,2,136,3338,3338
Drone_6,0.6159999999999999,814,523,2,146,3340,3340
Drone_84,0.7024999999999999,256,557,2,169,3340,3340
Drone_73,0.4720000000000001,781,98,2,137,3342,3342
Drone_75,0.8459999999999999,779,535,2,154,3347,3347
Drone_88,0.6469999999999998,792,533,2,152,3351,3351
Drone_32,0.7909999999999999,764,88,2,147,3379,3379
Drone_64,0.5349999999999998,714,576,2,205,3406,3406
Drone_34,0.6330000000000001,834,140,2,110,3422,3422
Drone_79,0.7944999999999999,157,224,2,347,3427,3427
Drone_52,0.8174999999999999,764,523,2,142,3459,3459
Drone_13,0.8409999999999999,724,643,2,267,3460,3460
Drone_62,0.48499999999999976,844,513,2,147,3463,3463
Drone_30,0.6689999999999998,438,842,2,115,3466,3466
Drone_82,0.6904999999999998,386,824,2,138,3492,3492
Drone_44,0.697,833,522,2,150,3493,3493
Drone_12,0.5895000000000001,183,563,2,96,3495,3495
Drone_22,0.5135000000000002,784,120,2,115,3508,3508
Drone_14,0.6379999999999999,768,533,2,152,3519,3519
Drone_56,0.7950000000000002,726,129,2,118,3519,3519
Drone_55,0.7699999999999998,860,465,2,116,3531,3531
Drone_74,0.48599999999999977,489,803,2,166,3534,3534
Drone_81,0.7755000000000001,740,136,2,106,3558,3558
Drone_99,0.8294999999999999,540,859,2,150,3574,3574
Drone_24,0.8919999999999999,195,348,2,241,3611,3611
Drone_85,0.659,812,96,2,143,3616,3616
Drone_65,0.5625,544,884,2,138,3629,3629
Drone_76,0.6055000000000003,722,90,2,155,3638,3638
Drone_33,0.6134999999999999,243,587,2,157,3640,3640
Drone_21,0.7445000000000003,793,132,2,104,3649,3649
Drone_100,0.7635000000000001,234,594,2,150,3650,3650
Drone_42,0.569,714,587,2,216,3664,3664
Drone_80,0.821,215,575,2,128,3687,3687
Drone_66,0.8939999999999999,303,271,2,213,3688,3688
Drone_75,0.8919999999999999,764,582,2,201,3700,3700
Drone_69,0.6409999999999999,197,548,2,111,3702,3702
Drone_57,0.4874999999999999,344,360,2,207,3706,3706
Drone_27,0.3435,211,557,2,124,3714,3714
Drone_32,0.7865000000000002,820,97,2,144,3717,3717
Drone_5,0.8259999999999998,641,824,2,252,3723,3723
Drone_16,0.6964999999999999,345,839,2,143,3730,3730
Drone_52,0.8805,744,583,1,205,3751,3751
Drone_43,0.39699999999999985,784,78,2,157,3763,3763
Drone_56,0.835,802,78,2,158,3795,3795
Drone_88,0.6339999999999999,884,473,1,139,3813,3813
Drone_84,0.7035000000000001,255,588,2,169,3853,3853
Drone_4,0.4135000000000002,223,577,2,136,3856,3856
Drone_6,0.6119999999999999,734,517,2,143,3869,3869
Drone_44,0.7769999999999998,839,604,2,230,3885,3885
Drone_46,0.6044999999999998,782,633,2,252,3887,3887
Drone_28,0.7774999999999999,368,196,2,154,3895,3895
Drone_71,0.4945000000000003,277,587,2,185,3914,3914
Drone_99,0.8859999999999999,287,681,2,208,3918,3918
Drone_34,0.6220000000000002,792,136,2,99,3924,3924
Drone_30,0.6809999999999998,367,844,2,127,3929,3929
Drone_79,0.7084999999999999,282,127,2,260,3934,3934
Drone_82,0.7454999999999998,426,764,2,193,3943,3943
Drone_83,0.3815000000000001,260,537,2,175,3948,3948
Drone_8,0.4920000000000001,758,138,2,99,3955,3955
Drone_55,0.7814999999999999,884,453,1,127,3959,3959
Drone_14,0.6485,777,543,2,162,3960,3960
Drone_13,0.7139999999999997,784,521,2,140,3962,3962
Drone_75,0.8544999999999999,724,536,2,164,3965,3965
Drone_81,0.7535000000000001,805,158,2,81,3969,3969
Drone_52,0.8729999999999999,714,570,2,199,3987,3987
Drone_66,0.8544999999999999,360,164,2,173,4002,4002
Drone_12,0.608,199,537,2,115,4012,4012
Drone_45,0.8089999999999999,344,183,2,181,4012,4012
Drone_80,0.8115,207,557,2,120,4032,4032
Drone_100,0.7224999999999999,196,568,2,109,4043,4043
Drone_26,0.3500000000000002,764,88,2,147,4045,4045
Drone_21,0.7645000000000001,742,118,2,122,4046,4046
Drone_5,0.8254999999999999,620,764,2,253,4054,4054
Drone_64,0.4834999999999997,842,522,2,154,4061,4061
Drone_73,0.4390000000000003,791,130,2,105,4077,4077
Drone_24,0.8839999999999999,283,212,2,234,4081,4081
Drone_62,0.5849999999999996,876,607,2,245,4085,4085
Drone_85,0.6785,822,78,2,163,4131,4131
Drone_56,0.812,750,102,2,135,4132,4132
Drone_32,0.7490000000000001,719,148,2,105,4169,4169
Drone_33,0.6005,229,587,2,143,4170,4170
Drone_22,0.5255000000000003,774,108,2,127,4176,4176
Drone_69,0.6625000000000002,216,601,2,134,4181,4181
Drone_55,0.8094999999999999,880,501,2,156,4207,4207
