timestep,deadDrones,chargingDrones,meanBattery,minAlert,maxAlert,aliveRate,freeChargers,eatingBirds,damage,energy
5845,53,1,0.7405531914893616,0.2031901934164873,0.693275880539986,0.47,29,9,59208,304.8999999999994
5846,53,1,0.7417021276595743,0.2031901934164873,0.693275880539986,0.47,29,8,59222,304.99999999999943
5847,53,0,0.7428085106382978,0.2031901934164873,0.693275880539986,0.47,30,11,59233,305.09999999999945
5848,53,0,0.7418297872340425,0.2031901934164873,0.693275880539986,0.47,30,9,59246,305.09999999999945
5849,53,0,0.7408404255319148,0.2031901934164873,0.693275880539986,0.47,30,8,59255,305.09999999999945
5850,53,0,0.7398404255319148,0.2031901934164873,0.693275880539986,0.47,30,7,59263,305.09999999999945
5851,53,0,0.7388404255319148,0.2031901934164873,0.693275880539986,0.47,30,8,59274,305.09999999999945
5852,53,0,0.7378404255319148,0.2031901934164873,0.693275880539986,0.47,30,8,59283,305.09999999999945
5853,53,0,0.7368404255319148,0.2031901934164873,0.693275880539986,0.47,30,10,59293,305.09999999999945
5854,53,0,0.7358510638297872,0.2031901934164873,0.693275880539986,0.47,30,10,59306,305.09999999999945
5855,53,0,0.7348617021276594,0.2031901934164873,0.693275880539986,0.47,30,7,59318,305.09999999999945
5856,53,0,0.7338617021276594,0.2031901934164873,0.693275880539986,0.47,30,7,59327,305.09999999999945
5857,53,0,0.7328829787234041,0.2031901934164873,0.693275880539986,0.47,30,8,59335,305.09999999999945
5858,53,0,0.7318936170212765,0.2031901934164873,0.693275880539986,0.47,30,5,59345,305.09999999999945
5859,53,0,0.7308936170212765,0.2031901934164873,0.693275880539986,0.47,30,6,59351,305.09999999999945
5860,53,0,0.7299042553191488,0.2031901934164873,0.693275880539986,0.47,30,7,59360,305.09999999999945
5861,53,0,0.7289255319148935,0.2031901934164873,0.693275880539986,0.47,30,9,59370,305.09999999999945
5862,53,0,0.7279255319148935,0.2031901934164873,0.693275880539986,0.47,30,8,59380,305.09999999999945
5863,53,0,0.7269255319148935,0.2031901934164873,0.693275880539986,0.47,30,9,59390,305.09999999999945
5864,53,0,0.7259255319148935,0.2031901934164873,0.693275880539986,0.47,30,11,59403,305.09999999999945
5865,53,0,0.7249468085106382,0.2031901934164873,0.693275880539986,0.47,30,12,59416,305.09999999999945
5866,53,0,0.7239468085106382,0.2031901934164873,0.693275880539986,0.47,30,9,59429,305.09999999999945
5867,53,0,0.7229468085106382,0.2031901934164873,0.693275880539986,0.47,30,11,59441,305.09999999999945
5868,53,0,0.7219574468085106,0.2031901934164873,0.693275880539986,0.47,30,12,59453,305.09999999999945
