timestep,protectingDrones,chargingDrones,deadDrones,allBirds,eatingBirds,allChargers,idleChargers,energyConsumed,damageRate
71,1,1,0,10,4,3,0,0.6000000000000001,5.0
72,1,2,0,10,3,3,1,0.4,5.4
73,1,1,0,10,3,3,0,0.6000000000000001,5.7
74,2,1,0,10,3,3,0,0.6000000000000001,6.0
75,2,1,0,10,2,3,0,0.6000000000000001,6.3
76,2,1,0,10,2,3,1,0.4,6.5
77,2,0,0,10,1,3,0,0.6000000000000001,6.7
78,3,0,0,10,0,3,0,0.6000000000000001,6.8
79,3,0,0,10,1,3,0,0.6000000000000001,6.9
80,3,0,0,10,2,3,0,0.6000000000000001,7.1
81,3,0,1,10,2,3,0,0.6000000000000001,7.4
82,3,0,2,10,2,3,0,0.6000000000000001,7.6
83,3,0,2,10,2,3,0,0.6000000000000001,7.8
84,3,0,2,10,2,3,0,0.6000000000000001,8.0
85,3,1,2,10,2,3,0,0.6000000000000001,8.2
86,3,1,2,10,2,3,0,0.6000000000000001,8.4
87,3,1,2,10,2,3,0,0.6000000000000001,8.6
88,3,1,3,10,3,3,0,0.6000000000000001,8.9
89,3,1,3,10,4,3,1,0.4,9.3
90,3,0,3,10,4,3,0,0.6000000000000001,9.7
91,4,0,3,10,3,3,0,0.6000000000000001,10.1
92,4,0,3,10,3,3,0,0.6000000000000001,10.4
93,4,0,3,10,2,3,0,0.6000000000000001,10.6
94,4,0,3,10,3,3,0,0.6000000000000001,10.9
95,4,0,3,10,4,3,0,0.6000000000000001,11.3
96,4,0,3,10,5,3,0,0.6000000000000001,11.8
97,4,0,3,10,4,3,0,0.6000000000000001,12.3
98,4,0,3,10,4,3,0,0.6000000000000001,12.7
99,4,0,3,10,3,3,0,0.6000000000000001,13.1
100,4,0,3,10,2,3,0,0.6000000000000001,13.4
101,4,0,3,10,2,3,0,0.6000000000000001,13.6
102,4,0,3,10,2,3,0,0.6000000000000001,13.8
103,4,0,3,10,3,3,0,0.6000000000000001,14.1
104,4,0,3,10,2,3,0,0.6000000000000001,14.4
105,4,0,3,10,1,3,0,0.6000000000000001,14.6
106,4,0,3,10,1,3,0,0.6000000000000001,14.7
107,4,0,3,10,1,3,0,0.6000000000000001,14.8
108,4,0,3,10,1,3,0,0.6000000000000001,14.9
109,4,0,3,10,2,3,0,0.6000000000000001,15.1
110,4,0,3,10,2,3,0,0.6000000000000001,15.3
111,4,0,3,10,3,3,0,0.6000000000000001,15.6
112,4,0,3,10,3,3,0,0.6000000000000001,15.9
113,4,0,3,10,3,3,0,0.6000000000000001,16.2
114,4,0,3,10,3,3,0,0.6000000000000001,16.5
115,4,0,3,10,2,3,0,0.6000000000000001,16.8
116,4,0,3,10,2,3,0,0.6000000000000001,17.0
117,3,0,3,10,2,3,0,0.6000000000000001,17.2
118,3,0,3,10,2,3,0,0.6000000000000001,17.4
119,3,0,3,10,3,3,0,0.6000000000000001,17.7
120,3,0,3,10,3,3,0,0.6000000000000001,18.0
121,3,0,3,10,2,3,0,0.6000000000000001,18.3
122,3,0,3,10,2,3,0,0.6000000000000001,18.5
123,2,0,3,10,3,3,0,0.6000000000000001,18.8
124,2,0,3,10,3,3,0,0.6000000000000001,19.1
125,2,0,3,10,3,3,0,0.6000000000000001,19.4
126,2,0,3,10,3,3,0,0.6000000000000001,19.7
127,1,0,3,10,3,3,0,0.6000000000000001,20.1
128,1,0,3,10,3,3,0,0.6000000000000001,20.4
129,1,0,3,10,2,3,0,0.6000000000000001,20.7
130,1,0,3,10,2,3,0,0.6000000000000001,20.9
